Incident ID,Date, Confirmed Time,Estimated Time,Governorate,District,Area,Target,Main category,Sub-category,Air Raids,Naval,Fatalities ,Woman,Child,Injured ,Woman,Child
86,28/03/2015,unkn,Evening,Hudaydah,Al-Hudaydah City,Al-Damghah Neighbourhood,Residential Area,Civilian,Residential Area,unkn,,0,0,0,30,12,13
87,28/03/2015,unkn,Evening,Hudaydah,Bajil,Kilo 7,Coastal Defence Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
88,28/03/2015,unkn,Midday,Jawf,Al-Ghayl,-,House (reportedly belonging to an Islah leader Al-Hasan Abkar),Political_Tribal,Figure,unkn,,0,0,0,0,0,0
89,28/03/2015,unkn,Early-Morning,Marib,Marib,The City,180th Air Defence Military Camp Radars,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
90,28/03/2015,17,Afternoon,Marib,Marib,Sahn Al-Jin,14th Armoured Brigade,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
91,28/03/2015,unkn,Unknown,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
92,28/03/2015,13,Afternoon,Saada,Sa'ada,The City,School ,Educational_facility,School,unkn,,0,0,0,0,0,0
93,28/03/2015,13,Afternoon,Saada,Sa'ada,The City,Electricity station,Economic_infrastructure,Water & Electricity,unkn,,0,0,0,0,0,0
94,28/03/2015,16,Afternoon,Saada,Sa'ada,-,Central jail ,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
95,28/03/2015,16,Afternoon,Saada,Sa'ada,-,Yemeni Gas Company,Infrastructure,Gov. compounds,unkn,,0,0,0,0,0,0
96,28/03/2015,unkn,Evening,Saada,Al-Dhaher,Al-Malaheet,105th Infantry Brigade (Al-Kamb Military Camp),Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
97,28/03/2015,unkn,Evening,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
98,28/03/2015,unkn,Evening,Saada,Saqain,Al-Sha'af,Unknown,Unknown,Unknown,3,,0,0,0,0,0,0
99,28/03/2015,23,Night,Saada,Sa'ada,Kahlan,Kahlan Military Camp,Military_Security_Target,Military Site,8,,0,0,0,0,0,0
100,28/03/2015,24,Night,Saada,Sa'ada,-,1st Artillery Brigade,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
101,29/03/2015,1,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
102,29/03/2015,unkn,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
103,29/03/2015,20,Evening,Capital,Ma'ain,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
104,29/03/2015,20,Evening,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
105,29/03/2015,20,Evening,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
106,29/03/2015,21,Evening,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
107,29/03/2015,21,Evening,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
108,29/03/2015,20,Evening,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
109,29/03/2015,20,Evening,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
110,29/03/2015,20,Evening,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
111,29/03/2015,16,Afternoon,Bayda,No'man,Aqabat Al-Sahah,Pro-Houthi forces,Military_Security_Target,Forces,1,,0,0,0,0,0,0
112,29/03/2015,22,Night,Dhamar,Ans,Al-Qarn,Pro-Houthi forces training camps,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
113,29/03/2015,1,Early-Morning,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
114,29/03/2015,unkn,Unknown,Hudaydah,Al-Mina,Al-Katheeb,Air Defence Battalion,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
115,29/03/2015,21,Evening,Hudaydah,Al-Mina,-,Naval Collage,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
116,29/03/2015,21,Evening,Hudaydah,Al-Mina,Al-Katheeb,Radar station,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
117,29/03/2015,21,Evening,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
118,29/03/2015,unkn,Midday,Jawf,Khab Wa Al-Sha'af,Habash Mountain,Telecommunications Towers,Infrastructure,Communication,unkn,,0,0,0,0,0,0
119,29/03/2015,unkn,Evening,Marib,Marib,East of Marib City,Military Sites,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
120,29/03/2015,21,Evening,Marib,Marib,Sahn Al-Jin,Detecting Radars,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
121,29/03/2015,21,Evening,Marib,Marib,Third Military  region HQ,Air Defence Battalion,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
122,29/03/2015,unkn,Midday,Saada,Baqim,"Ma'ali, Mara'a, Abwab Al-Hadeed",Residential Area,Civilian,Residential Area,unkn,,0,0,0,0,0,0
123,29/03/2015,unkn,Midday,Saada,Sihar,Al-Mahadher,Pro-Houthi forces,Military_Security_Target,Forces,unkn,,0,0,0,0,0,0
124,29/03/2015,unkn,Midday,Saada,Razih,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,,0,0,0,0,0,0
125,29/03/2015,unkn,Midday,Saada,Saqain,"Qarhid, Khamees Al-Mihwar",Residential Area,Civilian,Residential Area,unkn,,0,0,0,0,0,0
126,29/03/2015,18,Evening,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
127,29/03/2015,unkn,Unknown,Saada,Sa'ada,The City,Cultural Centre,Infrastructure,Gov. Compounds,3,,0,0,0,0,0,0
128,29/03/2015,unkn,Unknown,Saada,Sa'ada,The City,Al-Ibbi House,Civilian,Residential Area,unkn,,0,0,0,0,0,0
129,29/03/2015,18,Evening,Saada,Haydan,-,Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
130,29/03/2015,unkn,Midday,Shabwa,Bayhan,Aqabat Al-Qandha'a,Pro-Houthi forces,Military_Security_Target,Forces,unkn,,0,0,0,0,0,0
131,29/03/2015,unkn,Midday,Taiz,Sabir Al-Mawadim,Al-Aroos Mountain,Al-Arous Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
132,29/03/2015,20,Evening,Taiz,Al-Mukha,Al-Mukha Port,Air Defence Military Sites,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
133,30/03/2015,unkn,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
134,30/03/2015,10,Midday,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
135,30/03/2015,16,Afternoon,Capital,Al-Wahdah,60m Road,Military supplies camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
136,30/03/2015,16,Afternoon,Capital,Al-Wahdah,60m Road,YEC Storage units,Economic_infrastructure,Food (Storage/transportation),unkn,,0,0,0,0,0,0
137,30/03/2015,unkn,Morning,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
138,30/03/2015,10,Midday,Sanaa,Bani Hushaysh,Al-Jamimah,Al-Jamimah Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
139,30/03/2015,16,Afternoon,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
140,30/03/2015,16,Afternoon,Sanaa,Bani Matar,Ayban Mountain,Air Defence Batteries,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
141,30/03/2015,16,Afternoon,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
